,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
368,bio_source_MCF7,5,0.5630988074168819,0.4095475687690879,7.731935024261475
369,bio_source_MCF7,6,0.5574180867048938,0.4305128965668051,7.729439496994018
370,bio_source_MCF7,7,0.5019454992751125,0.4500416868201977,7.681986570358276
371,bio_source_MCF7,8,0.5223629061982338,0.391196332177535,7.791235208511352
372,bio_source_MCF7,9,0.5646675135204717,0.4298518586501755,7.705833196640015
373,bio_source_MCF7,mean,0.5386044804587857,0.4378877901952168,7.733892822265625
374,bio_source_MD55A3,0,0.5354467648101996,0.5891453769274957,7.708990812301636
375,bio_source_MD55A3,1,0.5859741580041109,0.4936648415242509,7.709341049194336
376,bio_source_MD55A3,2,0.5708212189312363,0.5649461268608347,7.795372009277344
377,bio_source_MD55A3,3,0.5740693393373748,0.5508453036236011,7.701540470123291
378,bio_source_MD55A3,4,0.5569660093257249,0.557475068523342,7.690271377563477
379,bio_source_MD55A3,5,0.5209770233139074,0.572782252519383,7.761089563369751
380,bio_source_MD55A3,6,0.581020618841985,0.5427008547226544,7.823505878448486
381,bio_source_MD55A3,7,0.5789967934057034,0.5337406902413161,7.7341578006744385
382,bio_source_MD55A3,8,0.5335196094461601,0.561447442804552,7.715004920959473
383,bio_source_MD55A3,9,0.5750230004861152,0.5372987060808795,7.7215869426727295
384,bio_source_MD55A3,mean,0.5612814535902517,0.550404666382831,7.736086082458496
385,bio_source_MDA-MB-231,0,0.6218172708525148,0.2338223068641584,7.8202149868011475
386,bio_source_MDA-MB-231,1,0.672112083214853,0.2047423679182977,7.684119939804077
387,bio_source_MDA-MB-231,2,0.6435803129825257,0.2156232805117218,7.742565393447876
388,bio_source_MDA-MB-231,3,0.6782923540245498,0.1941777104300048,7.741947174072266
389,bio_source_MDA-MB-231,4,0.6749609338750958,0.1961370964282998,7.826603412628174
390,bio_source_MDA-MB-231,5,0.6620925691813391,0.1971279585744993,7.725588798522949
391,bio_source_MDA-MB-231,6,0.6668457878827232,0.2125447223033919,7.723820447921753
392,bio_source_MDA-MB-231,7,0.6472689648558925,0.2126987988634834,7.733447074890137
393,bio_source_MDA-MB-231,8,0.6614974146317083,0.1993174457231322,7.834882020950317
394,bio_source_MDA-MB-231,9,0.6615977386919372,0.1928746019223582,7.703775405883789
395,bio_source_MDA-MB-231,mean,0.6590065430193139,0.2059066289539348,7.753696465492249
396,bio_source_MM1.S,0,0.5699798945527539,0.378451816251698,7.712894439697266
